title,year,certificate,runtime,genre,description,rating,metascore,director,stars,votes,gross
The Wizard of Oz,1939,AL,102 min,"Adventure, Family, Fantasy","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",8.1,92        ,"Directors:
Victor Fleming, 
George Cukor, 
Mervyn LeRoy, 
Norman Taurog, 
Richard Thorpe, 
King Vidor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","401,220",$2.08M
The Gold Rush,1925,,95 min,"Adventure, Comedy, Drama","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",8.2,,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman","112,173",$5.45M
Stalag 17,1953,,120 min,"Comedy, Drama, War","After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.",8.0,84        ,Billy Wilder,"William Holden, Don Taylor, Otto Preminger, Robert Strauss","56,326",
Sleuth,1972,16,138 min,"Mystery, Thriller","A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",8.0,,Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews","48,130",$4.08M
Miracle in Cell No. 7,2019,16,132 min,Drama,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,8.2,,Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal","49,467",
Sherlock Jr.,1924,,45 min,"Action, Comedy, Romance","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",8.2,,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","50,753",$0.98M
Gladiator,2000,16,155 min,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,67        ,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","1,497,270",$187.71M
The Graduate,1967,MG6,106 min,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.,8.0,83        ,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels","274,646",$104.95M
Spionnage in het spel,1942,14,99 min,"Comedy, Romance, War","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",8.2,86        ,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart","38,033",
Raging Bull,1980,16,129 min,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.2,89        ,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","355,349",$23.38M
Chak De! India,2007,,153 min,"Drama, Family, Sport","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",8.1,68        ,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla","81,000",$1.11M
Blood Diamond,2006,16,143 min,"Adventure, Drama, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",8.0,64        ,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers","551,502",$57.37M
Butch Cassidy and the Sundance Kid,1969,6,110 min,"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",8.0,66        ,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin","217,096",$102.31M
Magnolia,1999,16,188 min,Drama,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",8.0,77        ,Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman","314,104",$22.46M
High and Low,1963,12,143 min,"Crime, Drama, Mystery",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,8.4,90        ,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa","45,592",
Howl's Moving Castle,2004,MG6,119 min,"Animation, Adventure, Family","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",8.2,80        ,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa","396,057",$4.71M
Het grote carnaval,1951,12,111 min,"Drama, Film-Noir","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",8.1,72        ,Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall","36,511",$3.97M
X-Men: Days of Future Past,2014,12,132 min,"Action, Adventure, Sci-Fi",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,7.9,75        ,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy","713,933",$233.92M
Three Colors: Red,1994,AL,99 min,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.,8.1,100        ,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit","104,071",$4.04M
The Sound of Music,1965,Unrated,172 min,"Biography, Drama, Family",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,63        ,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn","235,816",$163.21M
Groundhog Day,1993,AL,101 min,"Comedy, Drama, Fantasy","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",8.1,72        ,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky","632,278",$70.91M
Avatar: The Way of Water,2022,12,192 min,"Action, Adventure, Fantasy","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",8.1,69        ,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","48,027",
De dictator,1940,14,125 min,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,8.4,,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner","224,748",$0.29M
Ah-ga-ssi,2016,16,145 min,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",8.1,84        ,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri","148,647",$2.01M
Badhaai ho,2018,,124 min,"Comedy, Drama",A man is embarrassed when he finds out his mother is pregnant.,7.9,,Amit Ravindernath Sharma,"Ayushmann Khurrana, Neena Gupta, Nayim Saifi, Gajraj Rao","35,149",
Rio Bravo,1959,12,141 min,Western,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",8.0,93        ,Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson","63,425",$12.54M
Pink,III 2016,12,136 min,"Crime, Drama, Thriller","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",8.1,,Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang","45,636",$1.24M
Dersu Uzala,1975,,142 min,"Adventure, Biography, Drama",The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,8.2,,Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov, Vladimir Khrulyov","30,318",
Django Unchained,2012,16,165 min,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",8.4,81        ,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","1,549,314",$162.81M
Star Wars: Episode VI - Return of the Jedi,1983,AL,131 min,"Action, Adventure, Fantasy","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",8.3,58        ,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","1,052,844",$309.13M
Being There,1979,AL,130 min,"Comedy, Drama","After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.",8.0,83        ,Hal Ashby,"Peter Sellers, Shirley MacLaine, Melvyn Douglas, Jack Warden","73,389",$30.18M
Pink Floyd: The Wall,1982,AL,95 min,"Drama, Fantasy, Music",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,8.0,47        ,Alan Parker,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David","81,722",$22.24M
Shutter Island,2010,16,138 min,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",8.2,63        ,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley","1,310,866",$128.01M
Seven,1995,16,127 min,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,65        ,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker","1,647,713",$100.13M
Catch Me If You Can,2002,12,141 min,"Biography, Crime, Drama","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,75        ,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","981,010",$164.62M
Annie Hall,1977,16,93 min,"Comedy, Romance","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.",8.0,92        ,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane","266,796",$39.20M
