"Name","Cuisine","Hours","Price","Good.For","Location","Address","Postal.Code","Lat","Long"
"5 ON 25 五悦亭","Chinese, Seafood, Vegetarian Friendly, Local, Dim Sum","Tue-Sun: 12-2:30pm, 6-10:30pm (Last Order: 9:45pm)Closed Monday","$$$","Business Meetings, City Views, Casual Dining, Drinks","Bugis","5 Fraser StreetLevel 25Andaz SingaporeSingapore (189354) ","189354","1.29915739776463","103.858020324447"
"1 Tyrwhitt Bistro Bar","American, Bar, Italian, Vegetarian Friendly","Wed-Mon: 11:30am-12amClosed Tuesday","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","Jalan Besar, Lavender","1 Tyrwhitt RoadSingapore (207522) ","207522","1.3090764177739","103.858266200923"
"1-Altitude","Australian, Fusion, Burgers","Mon-Fri: 5:30-10:30pmSat: 4:30-10:30pmSun: 3-10:30pm","$$$$","Al Fresco, Business Meetings, City Views, Fine Dining, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)","Raffles Place","1 Raffles PlaceLevel 63Singapore (048616) ","048616","1.28424656418639","103.851050382307"
"1-V:U – Restaurant and Day Club","Modern Asian","RestaurantTue-Sat: 6:30-10:30am, 6-10pmSun: 6:30-10:30am, 12-3pm, 6-10pmClosed MondayDay Club & Rooftop barMon-Sun: 11am-1am","$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Sentosa","10 Artillery AveLevel 7The Outpost HotelSingapore (099951)","099951","1.25222767333077","103.819973629171"
"10 SCOTTS","Bar, Buffet, Japanese, Seafood, British","Mon-Sun: 12-5pm, 6-10pm","$$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions","Orchard","10 Scotts RoadLobby LevelGrand Hyatt SingaporeSingapore (228211) ","228211","1.30637300291267","103.833257176622"
"13% Wine Bistro @ Telok Ayer","Modern European","Mon-Fri: 12-11pmSat: 5-11pmClosed Sunday","$$$","Casual Dining, Drinks, Private Functions","Telok Ayer","123A Telok Ayer StreetSingapore (068592) ","068592","1.28116562260763","103.8480616546"
"15 Stamford by Alvin Leung (The Capitol Kempinski Hotel Singapore)","Modern Asian","Mon-Sun: 12-3pm, 6-10:30pm","$$$","Business Meetings, Fine Dining, Private Functions, Romantic Dates, Large Parties (16+)","City Hall","15 Stamford RoadThe Capitol Kempinski HotelSingapore (178906) ","178906","1.29344480207133","103.85153211558"
"1927","Bar, Modern European, Fusion","Mon-Sun & PH: 2-10:30pm","$$$","City Views, Drinks, Private Functions, Large Parties (16+)","Raffles Place","35 Robinson RoadSingapore (068876) ","068876","1.27992197150836","103.849654790724"
"21 on Rajah","Buffet, Vegetarian Friendly, Local, Halal Certified","Mon-Sun: 6am-10:30pm","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Novena, Balestier","1 Jalan RajahSingapore (329133) ","329133","1.32699075133711","103.847403697576"
"2D1N Soju Bang","Korean, Vegetarian Friendly, BBQ","Tue-Sun: 11:30am-2:30pm, 5pm-12amClosed Monday","$$","Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","Tanjong Pagar","44/46 Tanjong Pagar RoadSingapore (088467) ","088467","1.27934860855414","103.843652058129"
"49 Seats","Fusion, Local","Mon-Thu: 11:30am-3:30pm, 5:30-11:30pmFri-Sun: 11:30am-4pm, 5-11:30pm","$$","Business Meetings, Casual Dining, Kid Friendly, Large Parties (16+)","Orchard","176 Orchard Road#01-49The CentrepointSingapore (238843) ","238843","1.30151446722773","103.840054426935"
"5 Senses Bistro (Funan Mall)","Modern European, French, Fusion, Seafood, Cafe","Mon-Sun: 11am-9pm","$$","Al Fresco, Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks, Private Functions","City Hall","107 North Bridge Road#02-17Funan MallSingapore (179105) ","179105","1.29124400604241","103.849984790048"
"5 Senses Bistro (The Star Vista)","Bar, Japanese, International, Seafood","Mon-Sun: 11am-9pm","$$","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner","Buona Vista","1 Vista Exchange Green#02-21The Star VistaSingapore (138617) ","138617","1.30695082420353","103.788287276561"
"665°F","Steakhouse","Mon, Wed-Sat: 12-2:30pm, 6-10:30pmTue & Sun: 6-10:30pm","$$$","Business Meetings, City Views, Fine Dining, Casual Dining, Private Functions, Quiet Dinner, Romantic Dates","Bugis","5 Fraser StreetLevel 38Andaz SingaporeSingapore (189354) ","189354","1.29915739776463","103.858020324447"
