place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Gardens by the Bay,Points of Interest & Landmarks • Gardens,from $8.03,4.5,"flower dome,light show,cloud forest,super trees,sky walk,supertree grove,satay,plants and flowers,beautiful garden,air conditioned,visiting singapore,walk around,domes,skywalk,waterfall,observatories,nature,flora,heat,mrt","Address18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,5:00 AM - 2:00 AM
Singapore Botanic Gardens,Parks • Gardens,NA,4.5,"orchid garden,swan lake,evolution garden,busy city,monitor lizards,few hours,entrance fee,plants and flowers,picnic,nature,lakes,turtles,paths,stroll,concert,jog,mrt,squirrels,tropical,flora,forest,heat,varieties","Address1 Cluny Road, Singapore 259 569 Singapore",Neighborhood: Tanglin,1-2 hours,5:00 AM - 12:00 AM
Singapore Zoo,Zoos,NA,4.5,"polar bear,night safari,white tiger,feeding times,animal shows,fragile forest,river safari,natural environment,tram ride,jurong bird park,orangutans,enclosures,kfc,cage,lions,conservation,species,heat","Address80 Mandai Lake Road, Singapore 729826 Singapore",Neighborhood: Central Water Catchment,More than 3 hours,8:30 AM - 6:00 PM
National Orchid Garden,Gardens,from $8.20,4.5,"beautiful orchids,cool house,orchid lover,worth a visit,varieties,botanic,hybrid,plants,species,collection,nature,heat","Address1 Cluny Rd Within the Singapore Botanic Gardens, Singapore 259569 Singapore",Neighborhood: Tanglin,NA,8:00 AM - 7:00 PM
Cloud Forest,Points of Interest & Landmarks • Parks • Gardens,from $15.26,4.5,"flower dome,indoor waterfall,beautiful plants,air conditioned,bay,flowers,nature,structure,flora,domes,conservatory,humidity,trees","Address18 Marina Gardens Drive, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,2-3 hours,9:00 AM - 9:00 PM
Sands Skypark Observation Deck,Points of Interest & Landmarks • Observation Decks & Towers,from $11.25,4.5,"infinity pool,hotel guests,sky park,marina bay sands,singapore flyer,night view,tower,rooftop,skyline,mbs,ships,structure","Address10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore",Neighborhood: Marina Bay,1-2 hours,9:30 AM - 10:00 PM
Singapore Mass Rapid Transit  (SMRT),Public Transportation Systems,NA,4.5,"transport system,always on time,ez link card,travel card,air conditioned,mrt station,systems,network,commuters,frequency,passes,platform,taxis,chinatown",NA,Neighborhood: Marina Bay,< 1 hour,NA
Singapore Flyer,Points of Interest & Landmarks • Observation Decks & Towers,NA,4.5,"london eye,ferris wheel,marina bay sands,afraid of heights,night view,capsule,ride,circuit,sgd","Address30 Raffles Avenue, Singapore 039803 Singapore",Neighborhood: Marina Centre,1-2 hours,Closed until further notice
Jurong Bird Park,Nature & Wildlife Areas,from $29.05,4.5,"lory loft,high flyers show,singapore zoo,night safari,penguins,aviaries,hornbills,tram,hawk,species,waterfall,sails,nature,collection,asia,zoos","Address2 Jurong Hill, Singapore 628925 Singapore",Neighborhood: Boon Lay,2-3 hours,NA
Supertree Grove,Points of Interest & Landmarks • Observatories & Planetariums,NA,4.5,"light show,garden rhapsody,marina bay sands,trees,walkway,skywalk,lightshow,domes,mrt","Address18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Jewel Changi Airport,Shopping Malls,NA,4.5,"indoor waterfall,canopy park,shake shack,shopping mall,walk around,vortex,fountain,cinema,garden,topiary,greenery,stopover,mrt","Address78 Airport Boulevard, Singapore 819666 Singapore",Neighborhood: Changi,More than 3 hours,NA
Singapore Cable Car,Trams • Lookouts • Scenic Walking Areas,from $18.78,4.5,"sentosa island,mount faber,harbour front,cars,ride","Address109 Mount Faber Road Faber Peak, Singapore 099203 Singapore",Neighborhood: Mount Faber Park,1-2 hours,9:00 AM - 10:00 PM
National Museum of Singapore,Speciality Museums,from $15.95,4.5,"lee kuan yew,japanese occupation,worth a visit,history,exhibits,rotunda,independence,founding,multimedia,development,insight,century,collection,forest,perspective","Address93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore",Neighborhood: Museum,More than 3 hours,10:00 AM - 7:00 PM
Flower Dome,Points of Interest & Landmarks • Parks • Gardens,from $15.26,4.5,"cloud forest,flowers and plants,air conditioned,different parts of the world,chinese new year,on display,cactus,bay,flora,beauty,structure","Address18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
Chinatown,Neighborhoods,NA,4.0,"chinese new year,food street,cheap souvenirs,pagoda street,chinese culture,buddha tooth relic temple,worth a visit,local food,mrt station,stalls,shopping,hawker,heritage","AddressCrot Trengganu, Singapore 048942 Singapore",Neighborhood: Outram,1-2 hours,8:00 AM - 12:00 AM
MacRitchie Nature Trail,Nature & Wildlife Areas,NA,4.5,"treetop walk,monitor lizards,nice walk,reservoir,monkeys,bridge,trek,trees,12km,muddy,jog,circuit,sg","AddressMacRitchie Reservoir Park, Singapore 298717 Singapore",Neighborhood: Central Water Catchment,2-3 hours,NA
Buddha Tooth Relic Temple and Museum,Speciality Museums • Religious Sites,NA,4.5,"buddhist,chanting,chinatown,meditation,replica,meditate,spiritual,rooftop,mrt","Address288 South Bridge Road, Singapore 058840 Singapore",Neighborhood: Outram,< 1 hour,7:00 AM - 7:00 PM
