Name,Long,Lat,Opening_Hour,Address,Description,Link,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Price,Duration (hr),Indoor/outdoors,Special Notes,region
"Chinatown Heritage Centre, Singapore",103.84435,1.28351,"Daily, 9am - 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015.",48 Pagoda Street,Experience how Singapore's early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.,http://www.singaporechinatown.com.sg/,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$$$,2,Indoors,NA,south
"Thian Hock Keng Temple, Singapore",103.84763,1.28094,"Daily, 7.30am - 5.30pm",158 Telok Ayer Street,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",http://www.thianhockkeng.com.sg,closed,closed,closed,closed,closed,closed,closed,$,2,Indoors,NA,south
Eurasian Heritage Centre: Singapore Attraction,103.89942,1.31007,"Tuesday to Sunday, 9am - 6pm, Closed on Monday",139 Ceylon Road,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,http://www.eurasians.org.sg/,closed,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$$,1,Indoors,NA,east
Pinnacle@Duxton,103.84142,1.27549,"50th storey Skybridge, Daily, 9am -10pm",1 Cantonment Road,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,http://www.pinnacleduxton.com.sg,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Outdoors,NA,south
Hajjah Fatimah Mosque,103.86285,1.30291,"Daily, 9am -9pm",4001 Beach Road,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,NA,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$,1,Indoors,NA,south
Haw Par Villa: Singapore Theme Park,103.78314,1.28551,"Daily, 9am - 7pm",262 Pasir Panjang Road,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,NA,not crowded,not crowded,not crowded,not crowded,some crowd,crowded,crowded,$,2,Outdoors,NA,south
NUS Baba House - Singapore Peranakan Architecture,103.83731,1.27731,"Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm - 3pm,Tuesday, 6.30pm - 7.30pm,Thursday, 10am - 11am,Saturday, 11am - 12pm",157 Neil Road,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",http://www.nus.edu.sg/museum/baba,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1,Indoors,NA,south
Hong San See Temple Singapore,103.841222,1.29316,Daily,31 Mohamed Sultan Road,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",NA,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Indoors,NA,south
Capitol Building Singapore,103.85157,1.29354,NA,11 Stamford Road,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,http://www.capitolsingapore.com,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Indoors,NA,south
Esplanade Theatre,103.85528,1.28986,NA,1 Esplanade Drive,This boldly designed performing arts centre has become a memorable part of Singapore's skyline.,http://www.esplanade.com,not crowded,not crowded,not crowded,not crowded,crowded,crowded,crowded,$,2,Indoors,NA,south
