"licence_numbers","business_name","name_of_license","premise_address","Postal.Code","Lat","Long"
"B02008E000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","845 YISHUN STREET 81 #01-184, S(760845)","760845",1.416079404249,103.835019190337
"B02011P000","Giant","COLD STORAGE SINGAPORE (1983) PTE LTD","524A JELAPANG ROAD #03-13/18, GREENRIDGE SHOPPING CENTRE S(671524)","671524",1.38529556526689,103.766170530147
"B02012N000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","768 WOODLANDS AVENUE 6 #01-34, WOODLANDS MART S(730768)","730768",1.44564787003157,103.798162285805
"B02015J000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","122 ANG MO KIO AVENUE 3 #01-1753,#01-1757,#01-1755, S(560122)","560122",1.37018860668947,103.843413231524
"B02017C000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","301 WOODLANDS STREET 31 #01-217, S(730301)","730301",1.4315052703273,103.773515659097
"B02020N000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","1 JELEBU ROAD #02-20,#01-15, BUKIT PANJANG PLAZA S(677743)","677743",1.37989494369864,103.764459887796
"B02021L000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","30 SEMBAWANG DRIVE #B1-01-03, SUN PLAZA S(757713)","757713",1.44820036592783,103.819530140823
"B02022K000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","71 WOODLANDS AVENUE 3 #01-01, MARSILING MRT STATION S(739044)","739044",1.43262603485889,103.774051197031
"B02024E000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","888 WOODLANDS DRIVE 50 #01-757, 888 PLAZA S(730888)","730888",1.43712301500434,103.795314383823
"B02025C000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","414 YISHUN RING ROAD #01-1853, S(760414)","760414",1.42452849741737,103.846595546746
"B02026B000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","445 FAJAR ROAD #01-536, S(670445)","670445",1.38357469942896,103.770868459633
